        상품번호                                            상품명                                카테고리경로        seId                  매핑상태
0   64260446                      12컬러 부드러운 그림 그리기 색연필 미술용품  문구/사무용품 > 화방용품 > 스케치/드로잉용품 > 색연필/파스텔  1002060300  Verified (RL Memory)
1   64260017                                   페트병 화분 자동급수기             취미/도서 > 원예/식물 > 화분용품 > 화분  1312080000  Verified (RL Memory)
2   64259486                          메이크업 브러쉬 14종 원통케이스 세트                  화장품 > 뷰티소품 > 메이크업브러쉬  0706020000  Verified (RL Memory)
3   64259442                   반지 팔찌 키링 시드 미니 비즈 diy 만들기 세트                완구/취미 > 만들기/DIY > 비즈공예  1311190000  Verified (RL Memory)
4   64252483                   36000 공단판 데코리본 세트 - 중 (36개입)               문구/사무용품 > 포장용품 > 리본/장식끈    12161905  Verified (RL Memory)
5   64252076                            인효 교재용 바둑알 세트 - 소 P                       출산 > 신생아의류 > 세트  0810050000           Tree Search
6   64251950                       스타 배드민턴 라켓 세트 FOCUS X200                스포츠/레저 > 배드민턴 > 배드민턴라켓  1408040000  Verified (RL Memory)
7   64251619               신광사 초대형 은박 피크닉 방수 매트 휴대용 접이식 돗자리              취미/도서 > 반려동물 > 리빙용품 > 매트  1304130300           Tree Search
8   64251526                           데일리 옻칠 나무 숟가락 젓가락 세트                       출산 > 신생아의류 > 세트  0810050000           Tree Search
9   64251522                             핑크풋 피규어 컴퍼스 콤파스 세트                  취미/도서 > 완구/피규어 > 피규어  1307040700           New Learned
10  64251466  대용량 해피파티 물풍선 교회 성경학교 어린이날 행사 선물 세트 1판 (30set)                       출산 > 신생아의류 > 세트  0810050000           Tree Search
11  64251382                     삼익악기 음악 학습용 리듬악기 세트 NSR-28                       출산 > 신생아의류 > 세트  0810050000           Tree Search
12  64251306                         E09] (6개세트) 화분[혼합] 파스텔             취미/도서 > 원예/식물 > 화분용품 > 화분  1312080000  Verified (RL Memory)
13  64250380                    네트 농구대 3색 농구림망 세트 일반형 골망 2개                     스포츠/레저 > 농구 > 농구대  1405030000           Tree Search
14  64250376               발광셔틀콕 깃털 셔틀콕 거위깃털 야광 4p 세트 배드민턴공                스포츠/레저 > 배드민턴 > 배드민턴라켓  1408040000           New Learned
15  64250361                          인테리어소품 식물 수경 행잉 화분 화병             취미/도서 > 원예/식물 > 화분용품 > 화분  1312080000  Verified (RL Memory)
