상품ID,상품명,기존ID,기존카테고리,추천ID,추천카테고리,상태
13298650417,절구 절구통 다지기 으깨기 절구공이 세트 LL,,생활/건강>주방용품>칼/커팅기구>절구,50004758,절구,Fixed (Phase2)
13298649459,벽걸이 샴푸 디스펜서 3구 물비누 세제통 호텔용 세트 욕실 용품 샴푸디 욕실디 세제디,,생활/건강>욕실용품>욕실용기/홀더>디스펜서,50008649.0,생활/건강 > 욕실용품 > 욕실용기/홀더 > 디스펜서,Mismatch
13298649106,세미락 욕실 도자기 디스펜서 5종 세트 형 욕실디 세면대 소품 인테리어 비누 홀더,,생활/건강>욕실용품>욕실용기/홀더>디스펜서,50019799,테이프디스펜서,Fixed (Phase2)
13298648811,정밀 드라이버 세트 나사 스크류 공구 24 종 버세트 라쳇 다용도 가정용 정리함 수공구,,생활/건강>공구>수작업공구>드라이버,50002668,드라이버,Fixed (Phase2)
13298648352,정밀 드라이버 115종 공구 세트 조립 분해 멀티 툴 버세트 가정용 전자 기기 수리,,생활/건강>공구>수작업공구>드라이버,50003391.0,생활/건강 > 공구 > 수작업공구 > 드라이버,Mismatch
13298648188,글리터 네일 파우더 트레이 받침대 거치대 아트 스티커 젤매니큐어 네일팁 세트 손톱 관리,,화장품/미용>네일케어>네일아트,50000403,네일아트,Fixed (Phase2)
13298646975,메이크업스파츌라 메이크업 믹싱 스파츌라 팔레트 세트,,화장품/미용>뷰티소품>페이스소품>기타페이스소품,50000244.0,화장품/미용 > 뷰티소품 > 메이크업브러쉬,Mismatch
13298646280,물뿌리개 원예 화분 물 조리개 물주기 3L DD-11930 물조리개,,생활/건강>정원/원예용품>물조리개,50003372,압축분무기,Fixed (Phase2)
13298645964,파리끈끈이 강력 화분 과수원 파리 초파리 해충 벌레 퇴치 끈끈이 사각끈끈이 20x30cm 10매 M11148 방제,,생활/건강>생활용품>해충퇴치용품>끈끈이,50002695,끈끈이,Fixed (Phase2)
13298645785,네일붓 젤 네일 아트 붓 브러쉬 재료 15종 세트 DD-11803 젤네일붓,,화장품/미용>네일케어>네일아트,50000403,네일아트,Fixed (Phase2)
13298642914,자동급수기 화분 식물 꽃 화분물주기 2P DD-11429,,생활/건강>정원/원예용품>물조리개,50003372,압축분무기,Fixed (Phase2)
13298642387,분갈이매트 원예용 화분 분갈이 방수 매트 DD-10683 방수매트,,생활/건강>정원/원예용품>원예부자재,50001796,원예부자재,Fixed (Phase2)
13298642054,탁구연습기 나홀로 셀프 탁구 놀이 연습 세트 DD-10899 탁구라켓,,스포츠/레저>탁구>기타탁구용품,50001448,탁구라켓,Fixed (Phase2)
13298641903,정원용품 화분 자동 급수 장치 10개입 DD-10920 원예용품,,생활/건강>정원/원예용품>물조리개,50001794,물조리개,Fixed (Phase2)
13298639658,드라이버세트 드라이버 세트 공구 노트북 스마트폰 분해조립 별드라이버,,생활/건강>공구>수작업공구>드라이버,50002668,드라이버,Fixed (Phase2)
13298638178,0 개구리 개운죽 화분 만들기,,생활/건강>원예/식물>수경식물,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13298630862,플라스틱 화분 정리대 선반 받침대 거치대 진열대 3단,,생활/건강>정원/원예용품>화분대,50001802,화분대,Fixed (Phase2)
13298630696,플라스틱 식물 네임태그 화분 라벨 10개 세트,,생활/건강>정원/원예용품>원예부자재,50001796,원예부자재,Fixed (Phase2)
13290694620,8in1 드라이버 세트 공구 가정용 십자 다용도 정밀 전동 파이 프렌치 스패너 별렌치,,생활/건강>공구>수작업공구>드라이버,50002668,드라이버,Fixed (Phase2)
13290693723,캘리그라피 컬러 붓펜 24색 2개 수채화 브러쉬 마커 다꾸 드로잉 펜,,생활/건강>문구/사무용품>필기도구>네임펜,50003566,네임펜,Fixed (Phase2)
13290693359,바리스타 미니어처 포터필터 키링 블랙 2p 세트 에어팟 차키 고리,,패션잡화>패션소품>키홀더,50000570,키홀더,Fixed (Phase2)
13290692443,포트 화분 38x25cm 실외화분 대형포트화분,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13290692280,화분 분재형 22x11cm 화산석돌화분 분재화분,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13290692132,사각 포트 화분 27x22 미니사각화분 사각플라스틱화분,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13290691945,화분 스탠다드 20x19 개업축하화분 선반화분,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13290691756,대나무 화분 받침 직사각 우드받침대 사각쟁반,,생활/건강>정원/원예용품>화분받침,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13290691603,수제 다육이 화분 퀼트 다육화분 수제화분,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13290691407,토분 화분 받침 25cm 토기화분받침대 화분대,,생활/건강>정원/원예용품>화분받침,50001803,화분받침,Fixed (Phase2)
13290691255,12각 화분 216x163mm 특이한화분 허브키우기,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
